site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2077,2016-04-01,0,0.0260,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,1,0.0230,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,2,0.0240,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,3,0.0200,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,4,0.0160,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,5,0.0150,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,6,0.0160,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,7,0.0290,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,8,0.0380,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,9,0.0360,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,10,0.0440,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,11,0.0450,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,12,0.0440,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,13,0.0490,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,14,0.0560,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,15,0.0610,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,16,0.0620,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,17,0.0630,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,18,0.0550,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,19,0.0420,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-01,20,0.0240,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
